Jacobi (1 | 1): 1
Jacobi (1 | 3): 1
Jacobi (1 | 5): 1
Jacobi (1 | 7): 1
Jacobi (1 | 9): 1
Jacobi (1 | 11): 1
Jacobi (1 | 13): 1
Jacobi (1 | 15): 1
Jacobi (1 | 17): 1
Jacobi (1 | 19): 1
Jacobi (1 | 21): 1
Jacobi (1 | 23): 1
Jacobi (1 | 25): 1
Jacobi (1 | 27): 1
Jacobi (1 | 29): 1
Jacobi (1 | 31): 1
Jacobi (1 | 33): 1
Jacobi (1 | 35): 1
Jacobi (1 | 37): 1
Jacobi (1 | 39): 1
Jacobi (1 | 41): 1
Jacobi (1 | 43): 1
Jacobi (1 | 45): 1
Jacobi (1 | 47): 1
Jacobi (1 | 49): 1
Jacobi (1 | 51): 1
Jacobi (1 | 53): 1
Jacobi (1 | 55): 1
Jacobi (1 | 57): 1
Jacobi (1 | 59): 1
Jacobi (2 | 1): 1
Jacobi (2 | 3): -1
Jacobi (2 | 5): -1
Jacobi (2 | 7): 1
Jacobi (2 | 9): 1
Jacobi (2 | 11): -1
Jacobi (2 | 13): -1
Jacobi (2 | 15): 1
Jacobi (2 | 17): 1
Jacobi (2 | 19): -1
Jacobi (2 | 21): -1
Jacobi (2 | 23): 1
Jacobi (2 | 25): 1
Jacobi (2 | 27): -1
Jacobi (2 | 29): -1
Jacobi (2 | 31): 1
Jacobi (2 | 33): 1
Jacobi (2 | 35): -1
Jacobi (2 | 37): -1
Jacobi (2 | 39): 1
Jacobi (2 | 41): 1
Jacobi (2 | 43): -1
Jacobi (2 | 45): -1
Jacobi (2 | 47): 1
Jacobi (2 | 49): 1
Jacobi (2 | 51): -1
Jacobi (2 | 53): -1
Jacobi (2 | 55): 1
Jacobi (2 | 57): 1
Jacobi (2 | 59): -1
Jacobi (3 | 1): 1
Jacobi (3 | 3): 0
Jacobi (3 | 5): -1
Jacobi (3 | 7): -1
Jacobi (3 | 9): 0
Jacobi (3 | 11): 1
Jacobi (3 | 13): 1
Jacobi (3 | 15): 0
Jacobi (3 | 17): -1
Jacobi (3 | 19): -1
Jacobi (3 | 21): 0
Jacobi (3 | 23): 1
Jacobi (3 | 25): 1
Jacobi (3 | 27): 0
Jacobi (3 | 29): -1
Jacobi (3 | 31): -1
Jacobi (3 | 33): 0
Jacobi (3 | 35): 1
Jacobi (3 | 37): 1
Jacobi (3 | 39): 0
Jacobi (3 | 41): -1
Jacobi (3 | 43): -1
Jacobi (3 | 45): 0
Jacobi (3 | 47): 1
Jacobi (3 | 49): 1
Jacobi (3 | 51): 0
Jacobi (3 | 53): -1
Jacobi (3 | 55): -1
Jacobi (3 | 57): 0
Jacobi (3 | 59): 1
Jacobi (4 | 1): 1
Jacobi (4 | 3): -1
Jacobi (4 | 5): 1
Jacobi (4 | 7): 1
Jacobi (4 | 9): 1
Jacobi (4 | 11): 1
Jacobi (4 | 13): 1
Jacobi (4 | 15): -1
Jacobi (4 | 17): 1
Jacobi (4 | 19): 1
Jacobi (4 | 21): -1
Jacobi (4 | 23): 1
Jacobi (4 | 25): 1
Jacobi (4 | 27): -1
Jacobi (4 | 29): 1
Jacobi (4 | 31): 1
Jacobi (4 | 33): -1
Jacobi (4 | 35): 1
Jacobi (4 | 37): 1
Jacobi (4 | 39): -1
Jacobi (4 | 41): 1
Jacobi (4 | 43): 1
Jacobi (4 | 45): 1
Jacobi (4 | 47): 1
Jacobi (4 | 49): 1
Jacobi (4 | 51): -1
Jacobi (4 | 53): 1
Jacobi (4 | 55): 1
Jacobi (4 | 57): -1
Jacobi (4 | 59): 1
Jacobi (5 | 1): 1
Jacobi (5 | 3): -1
Jacobi (5 | 5): 0
Jacobi (5 | 7): -1
Jacobi (5 | 9): 1
Jacobi (5 | 11): 1
Jacobi (5 | 13): -1
Jacobi (5 | 15): 0
Jacobi (5 | 17): -1
Jacobi (5 | 19): 1
Jacobi (5 | 21): 1
Jacobi (5 | 23): -1
Jacobi (5 | 25): 0
Jacobi (5 | 27): -1
Jacobi (5 | 29): 1
Jacobi (5 | 31): 1
Jacobi (5 | 33): -1
Jacobi (5 | 35): 0
Jacobi (5 | 37): -1
Jacobi (5 | 39): 1
Jacobi (5 | 41): 1
Jacobi (5 | 43): -1
Jacobi (5 | 45): 0
Jacobi (5 | 47): -1
Jacobi (5 | 49): 1
Jacobi (5 | 51): 1
Jacobi (5 | 53): -1
Jacobi (5 | 55): 0
Jacobi (5 | 57): -1
Jacobi (5 | 59): 1
Jacobi (6 | 1): 1
Jacobi (6 | 3): 0
Jacobi (6 | 5): -1
Jacobi (6 | 7): -1
Jacobi (6 | 9): 0
Jacobi (6 | 11): -1
Jacobi (6 | 13): -1
Jacobi (6 | 15): 0
Jacobi (6 | 17): -1
Jacobi (6 | 19): 1
Jacobi (6 | 21): 0
Jacobi (6 | 23): 1
Jacobi (6 | 25): 1
Jacobi (6 | 27): 0
Jacobi (6 | 29): 1
Jacobi (6 | 31): -1
Jacobi (6 | 33): 0
Jacobi (6 | 35): 1
Jacobi (6 | 37): -1
Jacobi (6 | 39): 0
Jacobi (6 | 41): -1
Jacobi (6 | 43): 1
Jacobi (6 | 45): 0
Jacobi (6 | 47): 1
Jacobi (6 | 49): 1
Jacobi (6 | 51): 0
Jacobi (6 | 53): 1
Jacobi (6 | 55): 1
Jacobi (6 | 57): 0
Jacobi (6 | 59): -1
Jacobi (7 | 1): 1
Jacobi (7 | 3): -1
Jacobi (7 | 5): -1
Jacobi (7 | 7): 0
Jacobi (7 | 9): 1
Jacobi (7 | 11): -1
Jacobi (7 | 13): -1
Jacobi (7 | 15): 1
Jacobi (7 | 17): -1
Jacobi (7 | 19): 1
Jacobi (7 | 21): 0
Jacobi (7 | 23): -1
Jacobi (7 | 25): 1
Jacobi (7 | 27): -1
Jacobi (7 | 29): 1
Jacobi (7 | 31): 1
Jacobi (7 | 33): 1
Jacobi (7 | 35): 0
